Symptom 1,Symptom 2,Symptom 3,Disease
Sensitivity to light,Depression,Abdominal cramps,Heart Attack
Wheezing,Difficulty breathing,Diarrhea,Gastroenteritis
Bloating,Painful joints,Rash,Pneumonia
Sweating,Depression,Skin rash,Gastroenteritis
Loss of consciousness,Cough,Persistent cough,Meningitis
Fast heart rate,Dizziness,Sore throat,Pancreatitis
Hoarseness,Painful joints,Abdominal cramps,Meningitis
Fast heart rate,Abdominal pain,Sensitivity to light,Migraine
Cough,Painful urination,Shortness of breath,Stroke
Yellowing of eyes,Sore throat,Blurred vision,Diabetes
Yellowing of eyes,Watery discharge,Itching,Gastroenteritis
Loss of consciousness,Shortness of breath,Red skin,Arrhythmia
Fatigue,Dizziness,Abdominal pain,Pneumonia
Fever,Sensitivity to light,Chest tightness,Pancreatitis
Difficulty swallowing,Acne,Neck swelling,Thyroid Disease
Frequent urination,Persistent cough,Sun sensitivity,Meningitis
Nausea,Blurred vision,Abdominal cramps,Lupus
Oily skin,Swelling,Knee pain,Osteoarthritis
Itching,Cold intolerance,Red skin,Allergic Reaction
Irritability,Redness of eyes,Fainting,Asthma
Joint pain,Watery discharge,Vomiting,Osteoarthritis
Cold intolerance,Pale skin,Watery discharge,Migraine
Fast heart rate,Excessive hunger,Sensitivity to light,Hepatitis
Constipation,Foul smell of urine,Loss of consciousness,Pancreatitis
Painful urination,Stiffness,Joint pain,Anemia
Severe headache,Acne,Foul smell of urine,Urinary Tract Infection (UTI)
Abdominal cramps,Joint pain,Nausea,Sciatica
Loss of appetite,Blackheads,Skin rash,Osteoarthritis
Excessive hunger,Knee pain,Ear pain,Thyroid Disease
Red skin,Persistent cough,Difficulty swallowing,Gastroenteritis
Fast heart rate,Bladder discomfort,Wheezing,Tonsillitis
Bloating,Weight loss,Cold intolerance,Pneumonia
Increased thirst,Chest pain,Difficulty swallowing,Hypothyroidism
Weight loss,Bloating,Pus discharge,Stroke
Difficulty swallowing,Loss of appetite,Cough,Osteoarthritis
Skin rash,Cough,Stiffness,Pancreatitis
Pus discharge,Persistent cough,Diarrhea,Asthma
Headache,Difficulty breathing,Increased thirst,Cellulitis
Shortness of breath,Nausea,Sensitivity to light,Tonsillitis
Fainting,Cold intolerance,Chest tightness,Heart Attack
Pale skin,Swelling,Difficulty breathing,Gastroenteritis
Diarrhea,Abdominal cramps,Hoarseness,Tuberculosis
Joint pain,Loss of consciousness,Difficulty breathing,Tuberculosis
Foul smell of urine,Diarrhea,Abdominal cramps,Food Poisoning
Skin rash,Pale skin,Diarrhea,Urinary Tract Infection (UTI)
Pale skin,Pus discharge,Neck swelling,Urinary Tract Infection (UTI)
Acne,Loss of consciousness,Dry mouth,Urinary Tract Infection (UTI)
Wheezing,Hoarseness,Difficulty swallowing,Thyroid Disease
Wheezing,Increased thirst,Diarrhea,Pneumonia
Weight gain,Increased thirst,Neck swelling,Hypothyroidism
Chest tightness,Fatigue,Sweating,Cellulitis
Excessive hunger,Yellowing of eyes,Abnormal heart rhythm,Asthma
Sweating,Acne,Fever,Gastroenteritis
Diarrhea,Back pain,Abdominal pain,Gastroenteritis
Abdominal cramps,Persistent cough,Abnormal heart rhythm,Heart Attack
Yellowing of eyes,Fatigue,Abdominal swelling,Pneumonia
Swelling,Watery discharge,Hair loss,Pneumonia
Loss of consciousness,Dizziness,Abdominal swelling,Cellulitis
Wheezing,Difficulty breathing,Diarrhea,Osteoarthritis
Shortness of breath,Loss of appetite,Weight gain,Meningitis
Abdominal swelling,Difficulty swallowing,Bladder discomfort,Lupus
Hair loss,Sweating,Constipation,Rheumatoid Arthritis
Back pain,Appetite loss,Shortness of breath,Sciatica
Frequent urination,Chest tightness,Fatigue,Thyroid Disease
Belly pain,Painful joints,Joint pain,Cellulitis
Severe headache,Painful joints,Rash,Stroke
Skin rash,Increased thirst,Knee pain,Food Poisoning
Shortness of breath,Loss of consciousness,Hair loss,Stroke
Chest pain,Abdominal pain,Muscle weakness,Meningitis
Weakness,Weight loss,Jaundice,Tuberculosis
Weight gain,Abdominal cramps,Loss of appetite,Hepatitis
Headache,Blurred vision,Neck swelling,Pneumonia
Blackheads,Chest tightness,Severe headache,Meningitis
Diarrhea,Oily skin,Persistent cough,Food Poisoning
Fever,Blurred vision,Foul smell of urine,Heart Attack
Appetite loss,Acne,Foul smell of urine,Allergic Reaction
Diarrhea,Increased thirst,Weakness,Cancer
Bladder discomfort,Abdominal swelling,Yellowing of eyes,Tonsillitis
Increased thirst,Sensitivity to cold,Diarrhea,Pancreatitis
Watery discharge,Sore throat,Chest pain,Migraine
Sun sensitivity,Nausea,Weight gain,Rheumatoid Arthritis
Cough,Itching,Frequent urination,Pneumonia
Oily skin,Painful joints,Painful urination,Cellulitis
Dizziness,Painful urination,Sensitivity to cold,Urinary Tract Infection (UTI)
Fainting,Fatigue,Itching,Cancer
Swelling,Stiffness,Sensitivity to cold,Meningitis
Diarrhea,Swelling,Constipation,Tuberculosis
Dizziness,Jaundice,Loss of consciousness,Rheumatoid Arthritis
Excessive hunger,Fatigue,Depression,Allergic Reaction
Belly pain,Constipation,Sensitivity to light,Pneumonia
Painful urination,Difficulty swallowing,Fever,Meningitis
Fatigue,Vomiting,Foul smell of urine,Cancer
Jaundice,Painful urination,Sweating,Major Depressive Disorder
Wheezing,Nausea,Leg pain,Diabetes
Neck swelling,Abnormal heart rhythm,Abdominal pain,Tonsillitis
Irritability,Blackheads,Pale skin,Stroke
Dizziness,Blackheads,Diarrhea,Urinary Tract Infection (UTI)
Leg pain,Bladder discomfort,Ear pain,Heart Attack
Dry mouth,Frequent urination,Hair loss,Anemia
Diarrhea,Pale skin,Ear pain,Cancer
Frequent urination,Red skin,Abdominal pain,Cancer
Wheezing,Difficulty breathing,Oily skin,Anemia
Frequent urination,Knee pain,Joint pain,Osteoarthritis
Weight loss,Appetite loss,Fast heart rate,Heart Attack
Red skin,Wheezing,Rash,Cellulitis
Dizziness,Difficulty swallowing,Sore throat,Gastroenteritis
Chest pain,Fatigue,Increased thirst,Acne Vulgaris
Fainting,Abnormal heart rhythm,Bloating,Tuberculosis
Itching,Diarrhea,Sweating,Diabetes
Persistent cough,Appetite loss,Abnormal heart rhythm,Conjunctivitis (Pink Eye)
Hair loss,Frequent urination,Constipation,Asthma
Yellowing of eyes,Loss of consciousness,Stiffness,Major Depressive Disorder
Yellowing of eyes,Neck swelling,Weight gain,Osteoarthritis
Dry mouth,Leg pain,Neck swelling,Stroke
Blackheads,Sore throat,Bloating,Major Depressive Disorder
Sun sensitivity,Abdominal cramps,Persistent cough,Rheumatoid Arthritis
Blurred vision,Wheezing,Acne,Osteoarthritis
Chest tightness,Persistent cough,Chest pain,Stroke
Swollen lymph nodes,Sensitivity to cold,Sensitivity to light,Food Poisoning
Headache,Dry mouth,Fever,Tonsillitis
Knee pain,Redness of eyes,Fainting,Meningitis
Abdominal cramps,Weight loss,Itching,Osteoarthritis
Muscle weakness,Bladder discomfort,Fainting,Sciatica
Muscle weakness,Sun sensitivity,Dry mouth,Urinary Tract Infection (UTI)
Sensitivity to cold,Abdominal cramps,Oily skin,Cancer
Ear pain,Abdominal pain,Watery discharge,Acne Vulgaris
Painful urination,Irritability,Red skin,Asthma
Swollen lymph nodes,Nausea,Foul smell of urine,Acne Vulgaris
Pale skin,Sun sensitivity,Fast heart rate,Major Depressive Disorder
Red skin,Blurred vision,Sensitivity to cold,Tuberculosis
Sweating,Severe headache,Bladder discomfort,Meningitis
Fever,Increased thirst,Irritability,Diabetes
Appetite loss,Yellowing of eyes,Swelling,Acne Vulgaris
Cough,Leg pain,Dizziness,Hepatitis
Severe headache,Diarrhea,Jaundice,Sciatica
Fainting,Constipation,Vomiting,Diabetes
Severe headache,Irritability,Red skin,Lupus
Fainting,Abdominal cramps,Chest pain,Cancer
Rash,Muscle weakness,Cold intolerance,Cancer
Abdominal pain,Chest tightness,Appetite loss,Acne Vulgaris
Painful joints,Yellowing of eyes,Persistent cough,Osteoarthritis
Blackheads,Blurred vision,Persistent cough,Pancreatitis
Stiffness,Constipation,Dizziness,Cancer
Abdominal pain,Increased thirst,Hoarseness,Diabetes
Loss of consciousness,Fainting,Irritability,Stroke
Dry mouth,Abdominal cramps,Diarrhea,Major Depressive Disorder
Excessive hunger,Pus discharge,Severe headache,Tonsillitis
Increased thirst,Difficulty swallowing,Abnormal heart rhythm,Pneumonia
Chest tightness,Muscle weakness,Skin rash,Meningitis
Swelling,Weight gain,Excessive hunger,Asthma
Chest tightness,Itching,Headache,Thyroid Disease
Cough,Sensitivity to cold,Weakness,Food Poisoning
Muscle weakness,Dizziness,Appetite loss,Hypothyroidism
Weakness,Constipation,Sore throat,Heart Attack
Pale skin,Severe headache,Oily skin,Stroke
Fainting,Dry mouth,Sensitivity to light,Conjunctivitis (Pink Eye)
Skin rash,Belly pain,Fatigue,Tuberculosis
Itching,Painful urination,Depression,Tuberculosis
Diarrhea,Redness of eyes,Sensitivity to cold,Migraine
Hair loss,Yellowing of eyes,Painful urination,Cellulitis
Nausea,Back pain,Fatigue,Cancer
Bladder discomfort,Red skin,Joint pain,Diabetes
Knee pain,Appetite loss,Sensitivity to light,Osteoarthritis
Painful joints,Cough,Nausea,Osteoarthritis
Skin rash,Swollen lymph nodes,Painful joints,Lupus
Fatigue,Swelling,Abdominal pain,Hepatitis
Abdominal cramps,Itching,Leg pain,Meningitis
Swollen lymph nodes,Cough,Headache,Sciatica
Acne,Jaundice,Blackheads,Diabetes
Dizziness,Dry mouth,Chest tightness,Hypothyroidism
Watery discharge,Swollen lymph nodes,Blackheads,Allergic Reaction
Constipation,Bloating,Loss of consciousness,Tonsillitis
Weight gain,Neck swelling,Shortness of breath,Conjunctivitis (Pink Eye)
Fast heart rate,Wheezing,Itching,Arrhythmia
Abdominal cramps,Dry mouth,Redness of eyes,Major Depressive Disorder
Rash,Irritability,Fatigue,Allergic Reaction
Back pain,Loss of appetite,Painful urination,Arrhythmia
Abdominal swelling,Abdominal pain,Sensitivity to light,Conjunctivitis (Pink Eye)
Chest pain,Painful urination,Fainting,Lupus
Skin rash,Hair loss,Leg pain,Allergic Reaction
Rash,Hoarseness,Difficulty swallowing,Pancreatitis
Abdominal pain,Ear pain,Nausea,Stroke
Weight gain,Persistent cough,Joint pain,Allergic Reaction
Headache,Sore throat,Wheezing,Arrhythmia
Pus discharge,Foul smell of urine,Hair loss,Pancreatitis
Swollen lymph nodes,Sore throat,Joint pain,Pneumonia
Sweating,Abdominal cramps,Depression,Lupus
Sensitivity to light,Redness of eyes,Bloating,Acne Vulgaris
Fainting,Redness of eyes,Weight gain,Pneumonia
Abnormal heart rhythm,Sun sensitivity,Dry mouth,Heart Attack
Dry mouth,Sweating,Weight loss,Major Depressive Disorder
Sensitivity to light,Jaundice,Diarrhea,Hypothyroidism
Vomiting,Cold intolerance,Weight gain,Allergic Reaction
Sweating,Redness of eyes,Frequent urination,Cellulitis
Watery discharge,Abdominal pain,Swollen lymph nodes,Urinary Tract Infection (UTI)
